=== cleared on app start (version=2.1, time=21:41:30) ===
21:41:30.848 killPlatformApps: killed com.ucmobile.lite for UC
21:41:30.855 killPlatformApps: killed com.eg.android.AlipayGphone for ALIPAY
21:41:30.856 killPlatformApps: killed com.taobao.taobao for TAOBAO
21:41:34.102 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.185 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.222 collectTaskContextText: result='', buttonText='已领取', containerFound=false
21:41:34.259 collectTaskContextText: result='', buttonText='已领取', containerFound=false
21:41:34.303 collectTaskContextText: result='', buttonText='15s后领取', containerFound=false
21:41:34.346 collectTaskContextText: result='', buttonText='15s后领取', containerFound=false
21:41:34.390 collectTaskContextText: result='', buttonText='已领取', containerFound=false
21:41:34.489 collectTaskContextText: result='', buttonText='已领取', containerFound=false
21:41:34.584 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.620 collectTaskContextText: result='', buttonText='15s后领取', containerFound=false
21:41:34.652 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.687 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.712 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.735 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.751 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.769 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.785 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.802 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.816 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.837 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.858 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.878 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.902 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.920 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.938 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:34.957 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:34.981 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.000 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.017 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.065 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.085 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.123 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.136 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.152 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.175 collectTaskContextText: result='', buttonText='14s后领取', containerFound=false
21:41:35.201 collectTaskContextText: result='', buttonText='14s后领取', containerFound=false
21:41:35.232 collectTaskContextText: result='', buttonText='14s后领取', containerFound=false
21:41:35.253 collectTaskContextText: result='', buttonText='14s后领取', containerFound=false
21:41:35.283 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.309 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.349 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.416 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.470 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.498 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.518 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.542 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.566 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.592 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.628 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.654 collectTaskContextText: result='', buttonText='null', containerFound=false
